觀測時間(day),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),最大瞬間風風速時間(LST),降水量(mm)
4,992.8,995.3,2024/02/04 9:02:00,988.7,2024/02/04 15:57:00,10.8,13,2024/02/04 17:01:00,6.2,2024/02/04 21:44:00,99,99,2024/02/04 0:01:00,1.7,132,12.1,324,2024/02/04 21:02:00,35.5
5,996,999.5,2024/02/05 22:31:00,992.4,2024/02/05 3:55:00,11.5,15,2024/02/05 3:55:00,8.4,2024/02/05 0:01:00,100,99,2024/02/05 4:11:00,1.2,7,7.7,351,2024/02/05 11:19:00,16.5
6,996.6,999,2024/02/06 0:12:00,994.8,2024/02/06 15:21:00,10.4,12.1,2024/02/06 5:21:00,9.3,2024/02/06 22:42:00,100,99,2024/02/06 6:21:00,1.3,120,7.7,86,2024/02/06 1:17:00,13.5
7,994,995.2,2024/02/07 0:01:00,991.5,2024/02/07 14:15:00,9.3,10,2024/02/07 22:01:00,8.3,2024/02/07 16:41:00,100,99,2024/02/07 0:24:00,1.1,340,8.2,353,2024/02/07 15:46:00,63
8,994.3,995.7,2024/02/08 21:51:00,992.4,2024/02/08 2:41:00,9.2,10.1,2024/02/08 7:46:00,8.2,2024/02/08 16:11:00,100,99,2024/02/08 8:51:00,0.9,4,7.1,355,2024/02/08 16:10:00,53.5
9,998.3,1000.4,2024/02/09 22:43:00,995,2024/02/09 1:01:00,8.4,9.5,2024/02/09 22:26:00,7.5,2024/02/09 8:43:00,100,99,2024/02/09 1:51:00,1,309,6,343,2024/02/09 7:12:00,37
10,1001.1,1002.6,2024/02/10 8:52:00,999.5,2024/02/10 3:11:00,10.1,13.2,2024/02/10 13:42:00,6.8,2024/02/10 23:11:00,96,83,2024/02/10 11:25:00,0.7,30,6,33,2024/02/10 10:43:00,0
11,1002.6,1004.6,2024/02/11 8:32:00,1000.6,2024/02/11 3:21:00,12,17.4,2024/02/11 12:11:00,6.5,2024/02/11 3:53:00,81,44,2024/02/11 14:41:00,1.1,177,6.6,138,2024/02/11 9:41:00,0
12,1001.2,1003.4,2024/02/12 7:31:00,999,2024/02/12 15:31:00,14.8,18.9,2024/02/12 13:02:00,11,2024/02/12 0:52:00,75,56,2024/02/12 12:01:00,1.2,173,9.9,126,2024/02/12 12:01:00,0
13,997.9,1000.3,2024/02/13 0:01:00,995.7,2024/02/13 14:15:00,15.9,21.2,2024/02/13 13:41:00,11.4,2024/02/13 23:11:00,78,39,2024/02/13 13:35:00,0.8,332,6,347,2024/02/13 12:36:00,0
14,995,997.6,2024/02/14 7:25:00,992.8,2024/02/14 15:41:00,16,22.5,2024/02/14 13:42:00,10.4,2024/02/14 2:51:00,72,35,2024/02/14 13:26:00,0.9,323,4.1,133,2024/02/14 13:16:00,0
15,993.9,997.6,2024/02/15 21:55:00,991.2,2024/02/15 14:01:00,16.7,23.9,2024/02/15 13:52:00,12,2024/02/15 4:02:00,86,54,2024/02/15 14:01:00,0.9,312,7.7,344,2024/02/15 19:49:00,1
16,996.6,999.5,2024/02/16 9:03:00,994.5,2024/02/16 23:51:00,11.3,12.7,2024/02/16 23:41:00,10.3,2024/02/16 6:46:00,100,99,2024/02/16 12:11:00,0.8,39,7.1,82,2024/02/16 1:02:00,23
17,992.6,994.7,2024/02/17 0:01:00,991.2,2024/02/17 16:05:00,14.4,19.6,2024/02/17 10:15:00,12.4,2024/02/17 0:11:00,100,99,2024/02/17 8:31:00,0.8,120,6,340,2024/02/17 10:53:00,0
18,991.1,993.1,2024/02/18 9:52:00,989.9,2024/02/18 15:41:00,17.6,22.9,2024/02/18 14:51:00,12.3,2024/02/18 6:01:00,96,75,2024/02/18 11:05:00,0.9,324,3.8,127,2024/02/18 13:05:00,0
19,990.7,992.5,2024/02/19 9:52:00,989.1,2024/02/19 17:21:00,20.9,26.2,2024/02/19 11:03:00,16.7,2024/02/19 4:41:00,90,66,2024/02/19 15:11:00,0.6,320,4.9,118,2024/02/19 10:55:00,0
20,991,993.1,2024/02/20 9:21:00,989,2024/02/20 15:11:00,20.4,25.9,2024/02/20 12:51:00,16.8,2024/02/20 5:43:00,98,88,2024/02/20 12:52:00,0.5,328,3,126,2024/02/20 10:34:00,0
21,990.7,992.5,2024/02/21 8:51:00,989,2024/02/21 15:31:00,19.9,23.5,2024/02/21 10:21:00,16.4,2024/02/21 4:51:00,100,99,2024/02/21 9:51:00,0.6,344,3.3,112,2024/02/21 11:52:00,0
22,994.8,997.9,2024/02/22 23:51:00,991.4,2024/02/22 3:31:00,15.4,21.2,2024/02/22 3:14:00,11.1,2024/02/23 0:00:00,100,99,2024/02/22 1:21:00,0.9,134,5.5,128,2024/02/22 11:46:00,16.5
23,998.5,1000.8,2024/02/23 9:51:00,997,2024/02/23 15:37:00,10.6,11.5,2024/02/23 12:51:00,9.8,2024/02/23 2:44:00,100,99,2024/02/23 1:21:00,1,118,7.1,116,2024/02/23 19:28:00,24.5
24,997.4,999,2024/02/24 0:09:00,995.8,2024/02/24 13:52:00,11,12,2024/02/24 10:53:00,9.9,2024/02/24 6:01:00,100,75,2024/02/24 7:41:00,0.9,20,5.5,113,2024/02/24 1:09:00,14.5
25,998,999.6,2024/02/25 20:32:00,996.4,2024/02/25 3:32:00,8.7,10.6,2024/02/25 0:06:00,7.3,2024/02/25 20:20:00,100,99,2024/02/25 18:51:00,0.8,121,6,99,2024/02/25 10:11:00,7.5
26,998.3,1000.3,2024/02/26 9:11:00,996.8,2024/02/26 14:47:00,9.1,9.9,2024/02/26 23:28:00,8.1,2024/02/26 1:54:00,100,99,2024/02/26 15:01:00,0.5,101,6.6,117,2024/02/26 11:40:00,13
27,997.6,999.8,2024/02/27 9:18:00,995.7,2024/02/27 23:23:00,10.3,11.4,2024/02/27 23:32:00,9.3,2024/02/27 9:35:00,100,99,2024/02/27 3:41:00,0.9,10,6,331,2024/02/27 1:09:00,23
28,994,996.7,2024/02/28 0:02:00,991.4,2024/02/28 13:51:00,12.6,17.7,2024/02/28 11:03:00,10.9,2024/02/28 18:01:00,100,99,2024/02/28 10:21:00,0.7,136,6,339,2024/02/28 14:30:00,1.5
29,993.1,996.3,2024/02/29 23:53:00,990.6,2024/02/29 13:41:00,11.9,18.6,2024/02/29 12:41:00,9.9,2024/02/29 5:51:00,100,74,2024/02/29 11:31:00,0.9,331,8.2,330,2024/02/29 14:02:00,4.5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,997.4,1000,2024/03/01 23:08:00,995.6,2024/03/01 1:03:00,8.3,10.1,2024/03/01 0:01:00,7.2,2024/03/01 23:06:00,100,99,2024/03/01 1:01:00,1.7,13,11.5,20,2024/03/01 18:49:00,65
2,996.6,999.5,2024/03/02 0:03:00,993.7,2024/03/02 15:11:00,8.4,9.1,2024/03/02 22:31:00,7.1,2024/03/02 3:51:00,100,99,2024/03/02 20:01:00,1,22,8.8,1,2024/03/02 3:04:00,37
3,994,996.1,2024/03/03 0:01:00,991.4,2024/03/03 23:51:00,10.3,13.9,2024/03/03 23:58:00,8.4,2024/03/03 2:52:00,100,99,2024/03/03 2:11:00,1.2,174,6,206,2024/03/03 9:27:00,5
4,988.6,991.7,2024/03/04 0:05:00,985.8,2024/03/04 15:41:00,15.3,20.1,2024/03/04 8:41:00,11.4,2024/03/04 6:11:00,100,99,2024/03/04 9:31:00,1,120,7.7,350,2024/03/04 10:57:00,0.5
5,982.9,987.3,2024/03/05 0:05:00,980.2,2024/03/05 15:01:00,22.3,27.3,2024/03/05 22:41:00,16.3,2024/03/05 0:07:00,96,73,2024/03/05 22:41:00,1.6,217,14.3,196,2024/03/05 20:59:00,0
6,988.4,993.6,2024/03/06 21:27:00,980.7,2024/03/06 2:31:00,13.4,26.6,2024/03/06 0:38:00,10.3,2024/03/06 23:49:00,97,75,2024/03/06 0:38:00,1.3,21,12.1,224,2024/03/06 2:23:00,20.5
7,993.1,995.1,2024/03/07 23:51:00,990.9,2024/03/07 15:53:00,10.3,10.9,2024/03/07 12:01:00,9.9,2024/03/07 3:11:00,100,99,2024/03/07 8:01:00,0.7,15,6,348,2024/03/07 1:28:00,17.5
8,996.6,998.1,2024/03/08 9:51:00,994.3,2024/03/08 4:02:00,11.1,13.9,2024/03/08 8:33:00,9.1,2024/03/08 18:26:00,67,28,2024/03/08 13:22:00,1.1,40,8.2,349,2024/03/08 11:13:00,0
9,997.6,999.6,2024/03/09 8:41:00,994.6,2024/03/09 4:08:00,11.2,12.4,2024/03/09 12:32:00,9.8,2024/03/09 4:01:00,73,60,2024/03/09 0:01:00,1.1,111,7.1,111,2024/03/09 7:29:00,0
10,997.6,1000.4,2024/03/10 9:52:00,995.9,2024/03/10 23:43:00,13.8,15.2,2024/03/10 22:17:00,11.9,2024/03/10 0:01:00,97,82,2024/03/10 0:01:00,1.3,108,7.1,119,2024/03/10 4:07:00,0.5
11,992.4,996.2,2024/03/11 0:01:00,989.9,2024/03/11 15:51:00,14.7,18.8,2024/03/11 8:53:00,11.8,2024/03/11 21:46:00,99,88,2024/03/11 1:53:00,0.9,335,8.2,346,2024/03/11 20:38:00,25.5
12,994.3,996.9,2024/03/12 22:31:00,991.9,2024/03/12 1:52:00,14.1,19.1,2024/03/12 13:42:00,9.6,2024/03/12 18:42:00,77,23,2024/03/12 12:25:00,1,337,5.5,298,2024/03/12 4:55:00,3.5
13,996,998.9,2024/03/13 9:31:00,993.9,2024/03/13 23:01:00,15.1,17.7,2024/03/13 12:23:00,13.2,2024/03/13 0:01:00,78,60,2024/03/13 8:27:00,1.8,108,9.3,121,2024/03/13 8:08:00,0
14,993,995,2024/03/14 8:42:00,991,2024/03/14 14:41:00,16.1,21.1,2024/03/14 14:51:00,12.9,2024/03/14 2:31:00,95,69,2024/03/14 14:51:00,0.2,0,3.5,121,2024/03/14 14:03:00,0
15,993.2,994.6,2024/03/15 8:31:00,991.4,2024/03/15 2:52:00,15.8,19.9,2024/03/15 12:12:00,12.8,2024/03/15 3:36:00,99,85,2024/03/15 12:12:00,0.4,336,3.5,341,2024/03/15 13:54:00,0
16,992.9,995,2024/03/16 9:01:00,991.2,2024/03/16 16:01:00,16.2,20.2,2024/03/16 14:41:00,13.1,2024/03/16 1:51:00,100,99,2024/03/16 2:51:00,0.6,326,4.9,2,2024/03/16 3:46:00,0
17,991.9,994.3,2024/03/17 21:52:00,989.6,2024/03/17 14:11:00,17.4,22.9,2024/03/17 11:51:00,12.4,2024/03/17 23:51:00,100,96,2024/03/17 11:57:00,0.8,25,4.1,24,2024/03/17 20:56:00,1.5
18,993.1,995.6,2024/03/18 8:21:00,990.8,2024/03/18 15:43:00,12.4,13.4,2024/03/18 13:51:00,11.4,2024/03/18 6:31:00,100,99,2024/03/18 3:21:00,1.1,129,6,22,2024/03/18 4:23:00,7.5
19,996.3,999.4,2024/03/19 20:58:00,992.5,2024/03/19 0:11:00,10.9,13,2024/03/19 0:01:00,9.4,2024/03/19 23:21:00,100,94,2024/03/19 15:05:00,1.2,328,6.6,353,2024/03/19 0:40:00,12
20,999.4,1001.9,2024/03/20 9:05:00,996.9,2024/03/20 23:51:00,13.4,16.5,2024/03/20 13:21:00,9.7,2024/03/20 1:04:00,66,44,2024/03/20 14:41:00,1.2,117,8.8,107,2024/03/20 10:22:00,0
21,992.8,997.8,2024/03/21 0:06:00,989.3,2024/03/21 16:26:00,15.5,19.3,2024/03/21 15:01:00,11.1,2024/03/21 0:52:00,74,55,2024/03/21 23:11:00,1.3,99,8.2,120,2024/03/21 10:19:00,0
22,989.1,991.2,2024/03/22 8:42:00,987,2024/03/22 14:41:00,18.2,24.2,2024/03/22 13:14:00,13.2,2024/03/22 0:52:00,83,52,2024/03/22 12:01:00,0.5,101,5.5,199,2024/03/22 3:03:00,0
23,988.8,990.3,2024/03/23 22:51:00,987.1,2024/03/23 4:11:00,21,27,2024/03/23 13:41:00,15.2,2024/03/23 5:21:00,89,62,2024/03/23 14:21:00,0.9,322,6,328,2024/03/23 14:47:00,0
24,990.5,992.5,2024/03/24 8:32:00,988.9,2024/03/24 15:22:00,21.6,26.5,2024/03/24 8:51:00,17.5,2024/03/24 4:51:00,99,91,2024/03/24 11:58:00,0.7,127,3.5,135,2024/03/24 13:08:00,0
25,988.6,990.8,2024/03/25 8:32:00,986.7,2024/03/25 17:31:00,22.8,27.8,2024/03/25 23:51:00,17.8,2024/03/25 5:12:00,94,40,2024/03/25 23:51:00,1,111,11.5,196,2024/03/25 21:51:00,0
26,994.7,998.1,2024/03/26 20:51:00,988,2024/03/26 1:21:00,16.6,28.5,2024/03/26 0:46:00,11.9,2024/03/26 14:42:00,92,30,2024/03/26 0:46:00,1.6,119,10.4,194,2024/03/26 1:03:00,7.5
27,994.2,997.3,2024/03/27 0:01:00,989.9,2024/03/27 23:52:00,15.6,17.7,2024/03/27 14:41:00,13.8,2024/03/27 6:01:00,100,99,2024/03/27 0:01:00,1,127,6,165,2024/03/27 8:55:00,0
28,987.1,990.2,2024/03/28 0:01:00,983.6,2024/03/28 15:31:00,21.5,27.7,2024/03/28 15:02:00,16.2,2024/03/28 0:01:00,93,67,2024/03/28 20:36:00,1.4,262,11.5,290,2024/03/28 13:40:00,0
29,989,990.8,2024/03/29 9:54:00,987.4,2024/03/29 1:11:00,18.9,23,2024/03/29 0:02:00,16,2024/03/29 7:31:00,97,73,2024/03/29 14:34:00,0.9,100,7.7,273,2024/03/29 0:21:00,0.5
30,988.7,991.2,2024/03/30 7:42:00,987.3,2024/03/30 15:44:00,20,26.5,2024/03/30 12:51:00,16.7,2024/03/30 0:01:00,99,82,2024/03/30 5:48:00,0.5,327,6,259,2024/03/30 6:48:00,3
31,985.6,990.6,2024/03/31 7:40:00,981.6,2024/03/31 14:52:00,20.9,26.5,2024/03/31 14:41:00,16.5,2024/03/31 15:41:00,99,82,2024/03/31 10:36:00,1.5,293,17.6,327,2024/03/31 15:32:00,123
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,988,990.7,2024/04/01 9:51:00,985.8,2024/04/01 16:47:00,19,23,2024/04/01 13:18:00,14.9,2024/04/01 4:54:00,99,91,2024/04/01 7:38:00,1.1,132,6,124,2024/04/01 9:34:00,2.5
2,985.2,987.5,2024/04/02 8:32:00,983,2024/04/02 16:01:00,22.2,28,2024/04/02 12:31:00,17.8,2024/04/02 5:31:00,99,85,2024/04/02 13:21:00,0.4,133,4.9,327,2024/04/02 0:34:00,1
3,985.1,987.9,2024/04/03 9:37:00,982.5,2024/04/03 2:16:00,25.1,29.1,2024/04/03 11:55:00,20.8,2024/04/03 1:03:00,93,50,2024/04/03 23:52:00,1.4,20,13.7,216,2024/04/03 6:39:00,0
4,988,993.2,2024/04/04 23:05:00,985.6,2024/04/04 4:01:00,X,27.1,2024/04/04 0:31:00,12.7,2024/04/04 23:34:00,X,45,2024/04/04 0:31:00,0.7,84,9.3,329,2024/04/04 4:57:00,8
5,990.2,992.9,2024/04/05 0:02:00,987.5,2024/04/05 2:43:00,X,15.3,2024/04/05 19:11:00,12.7,2024/04/05 1:11:00,X,99,2024/04/05 3:31:00,0.5,111,4.9,30,2024/04/05 9:18:00,4.5
6,990.1,991.8,2024/04/06 0:51:00,988.2,2024/04/06 16:23:00,X,18.7,2024/04/06 10:02:00,14.9,2024/04/06 0:01:00,X,99,2024/04/06 7:01:00,0.5,113,4.9,120,2024/04/06 22:45:00,7
7,988,990.1,2024/04/07 8:51:00,986.2,2024/04/07 17:51:00,X,15.6,2024/04/07 0:22:00,12.2,2024/04/07 8:21:00,X,99,2024/04/07 0:01:00,0.7,123,4.1,164,2024/04/07 9:43:00,15.5
8,987.7,991.9,2024/04/08 22:32:00,985.6,2024/04/08 3:21:00,X,16.1,2024/04/08 18:01:00,12.6,2024/04/08 0:21:00,X,99,2024/04/08 12:01:00,1,338,7.1,347,2024/04/08 19:47:00,38.5
9,993.2,994.8,2024/04/09 9:54:00,990.4,2024/04/09 1:52:00,X,16.6,2024/04/09 23:54:00,13.1,2024/04/09 2:21:00,X,99,2024/04/09 16:01:00,0.8,118,6,39,2024/04/09 11:18:00,10
10,992.4,994.1,2024/04/10 9:53:00,990.9,2024/04/10 18:32:00,X,19.3,2024/04/10 20:48:00,12.9,2024/04/10 15:32:00,X,99,2024/04/10 7:11:00,1.3,144,7.7,132,2024/04/10 12:16:00,8.5
11,990.4,992.1,2024/04/11 9:01:00,988.7,2024/04/11 17:26:00,X,24.8,2024/04/11 13:32:00,16,2024/04/11 22:41:00,X,99,2024/04/11 2:11:00,0.2,0,4.1,101,2024/04/11 13:44:00,0
12,987.8,989.2,2024/04/12 8:51:00,986,2024/04/12 16:24:00,X,24.5,2024/04/12 9:41:00,16,2024/04/12 0:01:00,X,99,2024/04/12 2:11:00,0.4,75,6,2,2024/04/12 12:28:00,0
13,987.6,989.1,2024/04/13 9:45:00,986.5,2024/04/13 4:01:00,X,21.7,2024/04/13 16:41:00,17.2,2024/04/13 5:51:00,X,99,2024/04/13 16:51:00,0.4,116,3.5,114,2024/04/13 12:05:00,0
14,986.8,988.6,2024/04/14 9:31:00,985.2,2024/04/14 15:21:00,X,26.5,2024/04/14 13:21:00,17.3,2024/04/14 5:01:00,X,99,2024/04/14 0:01:00,0.7,318,4.9,229,2024/04/14 11:34:00,0
15,987.4,989.6,2024/04/15 21:44:00,985.2,2024/04/15 3:41:00,X,29.8,2024/04/15 12:31:00,19.1,2024/04/15 23:31:00,X,99,2024/04/15 5:51:00,0.9,99,9.3,220,2024/04/15 7:06:00,0
16,986.8,988.9,2024/04/16 0:01:00,984.9,2024/04/16 13:32:00,X,26.9,2024/04/16 11:21:00,15.8,2024/04/16 5:01:00,X,99,2024/04/16 16:41:00,0.7,346,7.1,313,2024/04/16 17:25:00,0
17,984.2,986.4,2024/04/17 0:01:00,980.7,2024/04/17 15:32:00,X,27.4,2024/04/17 10:31:00,18.8,2024/04/17 4:49:00,X,72,2024/04/17 22:35:00,1.3,132,12.1,173,2024/04/17 18:19:00,0
18,985.9,988.2,2024/04/18 20:33:00,981.6,2024/04/18 5:04:00,X,25.1,2024/04/18 0:01:00,16.7,2024/04/18 9:01:00,X,90,2024/04/18 0:01:00,1.3,10,10.4,351,2024/04/18 6:01:00,52.5
19,985.2,987.1,2024/04/19 8:13:00,982.6,2024/04/19 14:01:00,X,26.5,2024/04/19 12:52:00,18.4,2024/04/19 2:24:00,X,86,2024/04/19 13:43:00,0.8,23,5.5,187,2024/04/19 4:45:00,0
20,984,985.8,2024/04/20 20:26:00,982.4,2024/04/20 5:22:00,X,28.7,2024/04/20 11:21:00,19.6,2024/04/20 23:56:00,X,83,2024/04/20 11:32:00,0.4,105,6,5,2024/04/20 11:56:00,0
21,985.2,987.1,2024/04/21 21:14:00,982.6,2024/04/21 4:21:00,X,27.9,2024/04/21 13:34:00,19.1,2024/04/21 4:41:00,X,73,2024/04/21 8:44:00,0.7,331,6.6,319,2024/04/21 9:32:00,0
22,984.6,986.2,2024/04/22 22:11:00,982.9,2024/04/22 17:43:00,X,24.8,2024/04/22 10:51:00,19.8,2024/04/22 23:52:00,X,99,2024/04/22 0:31:00,0.5,222,6.6,280,2024/04/22 13:42:00,1
23,983.5,985.4,2024/04/23 23:02:00,981.3,2024/04/23 14:41:00,X,26.1,2024/04/23 15:01:00,15,2024/04/23 3:30:00,X,91,2024/04/23 15:16:00,1.1,271,9.3,296,2024/04/23 18:42:00,45
24,986.6,988.4,2024/04/24 9:21:00,983.5,2024/04/24 3:31:00,X,22.4,2024/04/24 0:31:00,14.2,2024/04/24 14:52:00,X,99,2024/04/24 0:41:00,1,115,6,299,2024/04/24 0:36:00,57
25,984.4,986.9,2024/04/25 0:01:00,982.4,2024/04/25 23:51:00,X,21.2,2024/04/25 14:12:00,15.9,2024/04/25 0:31:00,X,99,2024/04/25 22:01:00,0.4,112,3.5,180,2024/04/25 1:30:00,7
26,981.5,982.9,2024/04/26 0:04:00,978.6,2024/04/26 15:54:00,X,24.3,2024/04/26 9:31:00,16.6,2024/04/26 0:42:00,X,99,2024/04/26 0:31:00,0.4,3,6,353,2024/04/26 1:18:00,12
27,983.8,986.9,2024/04/27 22:15:00,981,2024/04/27 2:32:00,X,25.8,2024/04/27 11:41:00,18.8,2024/04/27 0:01:00,X,99,2024/04/27 4:51:00,1,335,9.9,173,2024/04/27 2:09:00,0.5
28,984.3,987.4,2024/04/28 9:43:00,981,2024/04/28 13:51:00,X,32,2024/04/28 14:22:00,18.6,2024/04/28 1:06:00,X,57,2024/04/28 14:38:00,1.3,333,11,181,2024/04/28 11:33:00,0
29,983.4,985.3,2024/04/29 1:21:00,981.4,2024/04/29 15:21:00,X,30,2024/04/29 13:22:00,20.4,2024/04/29 0:55:00,X,63,2024/04/29 14:34:00,1.3,75,13.7,195,2024/04/29 9:09:00,0
30,981.2,983.4,2024/04/30 21:01:00,978.8,2024/04/30 23:31:00,X,29.9,2024/04/30 23:45:00,19.8,2024/04/30 5:21:00,X,39,2024/04/30 23:45:00,1.8,3,13.7,199,2024/04/30 21:38:00,3.5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,985.4,988.9,2024/05/01 21:54:00,980.1,2024/05/01 0:01:00,X,29,2024/05/01 0:01:00,15.7,2024/05/01 23:41:00,X,41,2024/05/01 0:05:00,1.4,112,16,225,2024/05/01 5:24:00,42.5
2,989.5,991.4,2024/05/02 21:23:00,987.4,2024/05/02 3:43:00,X,16.3,2024/05/02 21:25:00,15.5,2024/05/02 6:31:00,X,99,2024/05/02 1:31:00,0.4,167,3.8,128,2024/05/02 10:13:00,22.5
3,989.4,990.8,2024/05/03 8:21:00,988,2024/05/03 15:22:00,X,19.6,2024/05/03 8:52:00,16.1,2024/05/03 0:01:00,X,99,2024/05/03 19:01:00,0.7,157,4.9,201,2024/05/03 20:15:00,0.5
4,986.1,988.7,2024/05/04 0:03:00,983.6,2024/05/04 15:42:00,X,25,2024/05/04 13:41:00,14.2,2024/05/04 6:31:00,X,81,2024/05/04 13:16:00,0.7,137,4.9,107,2024/05/04 12:00:00,6
5,985,986.9,2024/05/05 9:41:00,982.9,2024/05/05 2:55:00,X,27,2024/05/05 13:43:00,17.7,2024/05/05 0:11:00,X,99,2024/05/05 0:11:00,0.5,9,6,349,2024/05/05 14:55:00,0
6,986.9,989.8,2024/05/06 22:02:00,984.5,2024/05/06 3:01:00,X,26.6,2024/05/06 9:56:00,19.3,2024/05/06 5:14:00,X,99,2024/05/06 21:51:00,1.1,154,8.8,337,2024/05/06 10:53:00,1
7,989.8,991.2,2024/05/07 8:01:00,988.5,2024/05/07 2:51:00,X,24.8,2024/05/07 10:41:00,18.5,2024/05/07 4:56:00,X,99,2024/05/07 13:01:00,1.2,125,5.5,145,2024/05/07 8:36:00,0
8,990.9,993.9,2024/05/08 22:51:00,988.2,2024/05/08 2:42:00,X,23.7,2024/05/08 10:43:00,18.3,2024/05/08 20:51:00,X,99,2024/05/08 6:51:00,1.1,114,7.1,129,2024/05/08 10:51:00,0
9,993.1,994.8,2024/05/09 9:04:00,991.3,2024/05/09 15:41:00,X,21.5,2024/05/09 13:58:00,16.1,2024/05/09 4:04:00,X,80,2024/05/09 11:51:00,1.2,95,7.7,116,2024/05/09 9:04:00,0
10,990.5,992.6,2024/05/10 0:01:00,988.7,2024/05/10 16:41:00,X,26.7,2024/05/10 17:02:00,18.1,2024/05/10 23:41:00,X,73,2024/05/10 16:05:00,1.1,23,7.7,112,2024/05/10 10:52:00,0
11,988.9,991.2,2024/05/11 8:24:00,987.1,2024/05/11 17:21:00,X,26.4,2024/05/11 13:13:00,18,2024/05/11 1:31:00,X,91,2024/05/11 11:02:00,0.7,134,3.8,140,2024/05/11 10:05:00,0
12,986.4,987.9,2024/05/12 0:01:00,984.6,2024/05/12 15:11:00,X,28.6,2024/05/12 9:21:00,17.5,2024/05/12 23:58:00,X,70,2024/05/12 8:18:00,0.6,26,8.8,7,2024/05/12 19:28:00,55.5
13,989.4,991.3,2024/05/13 10:52:00,987,2024/05/13 0:05:00,X,17.7,2024/05/13 0:06:00,11.4,2024/05/13 18:33:00,X,84,2024/05/13 5:13:00,0.7,11,7.1,159,2024/05/13 20:01:00,49.5
14,989.4,990.9,2024/05/14 21:21:00,988.1,2024/05/14 2:32:00,X,19.4,2024/05/14 15:11:00,13.1,2024/05/14 23:56:00,X,99,2024/05/14 3:41:00,0.3,326,4.1,216,2024/05/14 9:39:00,1
15,990.7,993.1,2024/05/15 22:31:00,988.5,2024/05/15 2:14:00,X,23,2024/05/15 14:54:00,12,2024/05/15 5:01:00,X,37,2024/05/15 20:33:00,0.6,113,4.9,121,2024/05/15 9:47:00,0
16,991.9,994.7,2024/05/16 7:03:00,989,2024/05/16 23:41:00,X,20.8,2024/05/16 13:41:00,16.6,2024/05/16 1:23:00,X,82,2024/05/16 14:23:00,1.5,111,7.7,115,2024/05/16 9:30:00,0
17,987.2,989.2,2024/05/17 0:01:00,985.7,2024/05/17 15:31:00,X,26.4,2024/05/17 11:24:00,16.6,2024/05/17 23:51:00,X,77,2024/05/17 11:02:00,0.4,7,3.8,334,2024/05/17 13:04:00,0
18,985.5,987.3,2024/05/18 7:42:00,983.8,2024/05/18 16:11:00,X,25.8,2024/05/18 12:14:00,16,2024/05/18 1:11:00,X,95,2024/05/18 7:01:00,0.9,83,6,122,2024/05/18 11:07:00,0
19,984.4,985.6,2024/05/19 8:53:00,983.2,2024/05/19 3:11:00,X,26,2024/05/19 10:43:00,15.3,2024/05/19 21:41:00,X,74,2024/05/19 19:31:00,1.1,100,6.6,52,2024/05/19 9:54:00,3.5
20,985.1,987.4,2024/05/20 21:02:00,983,2024/05/20 3:15:00,X,20.3,2024/05/20 3:06:00,14,2024/05/20 21:31:00,X,60,2024/05/20 3:41:00,1.1,117,7.1,102,2024/05/20 9:39:00,17
21,985.4,986.5,2024/05/21 8:42:00,984,2024/05/21 16:11:00,X,18.4,2024/05/21 17:01:00,14.2,2024/05/21 0:01:00,X,74,2024/05/21 2:23:00,0.4,40,5.5,167,2024/05/21 0:53:00,37.5
22,985.5,986.9,2024/05/22 9:54:00,983.6,2024/05/22 2:01:00,X,20.3,2024/05/22 7:09:00,17.5,2024/05/22 23:51:00,X,99,2024/05/22 13:01:00,0.6,331,6,1,2024/05/22 7:37:00,16.5
23,985.5,986.8,2024/05/23 9:55:00,984.1,2024/05/23 2:51:00,X,18,2024/05/23 11:32:00,16.8,2024/05/23 23:01:00,X,74,2024/05/23 10:11:00,0.1,0,2.4,107,2024/05/23 9:46:00,10.5
24,986.6,988.4,2024/05/24 21:51:00,984.8,2024/05/24 3:31:00,X,21.8,2024/05/24 12:21:00,16.9,2024/05/24 0:21:00,X,99,2024/05/24 6:41:00,0.2,0,3,317,2024/05/24 9:29:00,3.5
25,986.2,987.6,2024/05/25 7:01:00,984.7,2024/05/25 18:21:00,X,25.7,2024/05/25 11:51:00,17.8,2024/05/25 0:31:00,X,99,2024/05/25 11:01:00,0.3,132,3,333,2024/05/25 5:31:00,0
26,984.1,986,2024/05/26 8:51:00,981.8,2024/05/26 23:52:00,X,26.7,2024/05/26 13:02:00,19.8,2024/05/26 3:51:00,X,99,2024/05/26 22:11:00,0.3,107,3.5,167,2024/05/26 12:59:00,0
